รหัส,หมวดหมู่,รายการ,รายละเอียด,เวลา/ระยะเวลา,กลุ่มเป้าหมาย,PKG Philosophy ที่เชื่อมโยง,สถานะ
D-2,กิจกรรมประจำวัน,Idea Flash (10:00),สุ่ม 1 คนแชร์ไอเดียใหม่ ทีมต้องพูด "ขอบคุณที่แสดงความคิดเห็น",5 นาที,พนักงานทุกระดับ,วัฒนธรรม #7,พร้อมใช้งาน
D-3,กิจกรรมประจำวัน,Lunch & Learn (12:30),พฤหัสบดี: เล่าเรื่อง "ความผิดพลาดที่ฉันรับผิดชอบ",30 นาที,พนักงานทุกระดับ,6 รับ ข้อ 3,พร้อมใช้งาน
D-4,กิจกรรมประจำวัน,Feedback "6 รับ" Coffee (15:00),จับคู่ 15 นาที ให้ Feedback ด้วยกรอบ 6 รับ,15 นาที,พนักงานทุกระดับ,6 รับ (ทุกข้อ),พร้อมใช้งาน
D-5,กิจกรรมประจำวัน,Daily Wrap-Up (16:30),สรุปงาน + ถาม "วันนี้บริการเพื่อนร่วมทีมดีหรือไม่?",10 นาที,พนักงานทุกระดับ,มาตรฐาน 9 ข้อ 6,พร้อมใช้งาน
R-1,รางวัล,6 รับ Champion,ปฏิบัติค่านิยม 6 รับ อย่างโดดเด่น ครบทั้ง 6 ข้อ (ต้อง 2 เดือนติด),ทุกเดือน,พนักงานทุกระดับ,ค่านิยม 6 รับ,พร้อมใช้งาน
R-2,รางวัล,ทีมรับใช้ดีเด่น,ทีมที่ทำงานเพื่อกันและกัน + Cross-Team Collaboration,ทุกเดือน,ทีม,วัฒนธรรม #14,พร้อมใช้งาน
R-3,รางวัล,นวัตกรรมทดลองใหม่,กล้าทดลองสิ่งใหม่ แม้ล้มเหลวแต่เรียนรู้ได้ (วัด Impact ไม่ใช่จำนวน),ทุกเดือน,พนักงานทุกลักษณ์,นโยบาย #7, วัฒนธรรม #6,พร้อมใช้งาน
R-4,รางวัล,ผู้นำผู้รับใช้ยอดเยี่ยม,คะแนน 8 อุปนิสัย + 5 บทบาท สูงสุด (360° Feedback),ทุกไตรมาส,หัวหน้างาน/ผู้บริหาร,8 Characters + 5 Roles,พร้อมใช้งาน
R-5,รางวัล,มาตรฐาน 9 Perfect,ปฏิบัติตามมาตรฐาน 9 ครบทุกข้อ 3 เดือนติด + Customer Satisfaction,ทุกไตรมาส,ทีม,มาตรฐาน 9,พร้อมใช้งาน
CE-1,Cobra Prevention,Phase 1: สำรวจ Baseline,Anonymous 100% + คำถามเชิงพฤติกรรม (ไม่ใช้คำถามทั่วไป),สัปดาห์ 1-2,พนักงานทุกระดับ,นโยบาย #10,พร้อมใช้งาน
CE-2,Cobra Prevention,Phase 2: อบรม Module 1,ไม่เช็คชื่อ แต่ให้สะท้อนสิ่งที่ได้เรียน + วัดพฤติกรรมจริง 30 วัน,สัปดาห์ 3-4,พนักงานทุกระดับ,วัฒนธรรม #5,#6,พร้อมใช้งาน
CE-3,Cobra Prevention,Phase 3: กิจกรรมประจำวัน,หัวหน้าเล่าสิ่งที่ได้ยินหลัง Morning Check + สุ่ม Audit โดย HR,สัปดาห์ 5-8,หัวหน้างาน,6 รับ ข้อ 1,พร้อมใช้งาน
CE-4,Cobra Prevention,Phase 5: ระบบรางวัล,Peer Nomination (เพื่อนเสนอเพื่อน) + ต้องยั่งยืน 2-3 เดือนติด,เดือน 3,พนักงานทุกระดับ,วัฒนธรรม #13, พร้อมใช้งาน
CE-5,Cobra Prevention,กฎเหล็ก 5 ข้อ,1.วัดพฤติกรรมไม่ใช่จำนวน 2.เพื่อนเสนอเพื่อน 3.ยั่งยืน 4.วัดผลรอบด้าน 5.ยกย่องความล้มเหลวที่เรียนรู้,ตลอดโครงการ,พนักงานทุกระดับ,วัฒนธรรม #6,#10,#13,พร้อมใช้งาน
S-1,การสื่อสาร,Daily Voice (08:00/17:00),6 รับประจำวัน + เสียงลูกค้า + 3 ความสำเร็จเล็กๆ,ทุกวัน,พนักงานทุกระดับ,6 รับ + มาตรฐาน 9,พร้อมใช้งาน
S-2,การสื่อสาร,Weekly Culture Pulse,สมาชิกตัวอย่าง 6 รับ + Lesson of the Week + มาตรฐาน 9 Check,ทุกสัปดาห์,พนักงานทุกระดับ,6 รับ + มาตรฐาน 9,พร้อมใช้งาน
S-3,การสื่อสาร,Monthly Townhall,CEO Message + Culture Dashboard + Open Q&A,ทุกเดือน,พนักงานทุกลักษณ์,นโยบาย #2, บรรยากาศ 9,พร้อมใช้งาน
